GEOID,NAME,Total,Hispanic,White,Black,AmerInd,Asian,PacIsl,Other,Multiracial,White_per,Black_per,Hispanic_per,Asian_per
13075,"Cook County, Georgia",17229,1134,10658,4753,29,100,4,51,500,61.86081606593534,27.587207615067616,6.581925822740728,0.580416739218759
13079,"Crawford County, Georgia",12130,415,8866,2267,45,31,3,44,459,73.09150865622424,18.689200329760926,3.4212695795548225,0.25556471558120364
13083,"Dade County, Georgia",16251,364,14786,141,68,129,5,31,727,90.9851701433758,0.8676389145283366,2.239862162328472,0.7937973047812442
13085,"Dawson County, Georgia",26798,1605,23544,200,63,235,14,94,1043,87.85730278378983,0.7463243525636242,5.989252929323084,0.8769311142622584
13089,"DeKalb County, Georgia",764382,81471,215895,384438,1161,50076,202,4719,26420,28.244385660572856,50.2939629661609,10.658414248373195,6.551174674442883
13091,"Dodge County, Georgia",19925,620,12865,5847,21,95,8,42,427,64.56712672521957,29.34504391468005,3.111668757841907,0.4767879548306148
13095,"Dougherty County, Georgia",85790,2413,20631,59720,128,647,20,234,1997,24.048257372654156,69.61184287212961,2.8126821307844736,0.7541671523487585
13099,"Early County, Georgia",10854,186,4813,5534,31,47,0,11,232,44.34309931822369,50.9858116823291,1.7136539524599224,0.4330200847613783
13101,"Echols County, Georgia",3697,1091,2328,147,37,8,0,2,84,62.96997565593725,3.976196916418718,29.510413849066815,0.21639166892074654
13105,"Elbert County, Georgia",19637,996,12610,5253,26,182,3,53,514,64.21551153434842,26.75052197382492,5.072057849977083,0.926821815959668
13107,"Emanuel County, Georgia",22768,993,13815,7246,33,141,2,40,498,60.67726633872101,31.82536893886156,4.361384399156711,0.6192902319044273
13111,"Fannin County, Georgia",25319,753,23351,85,85,113,3,55,874,92.22718116829259,0.33571626051581815,2.97405110786366,0.4463051463327936
13113,"Fayette County, Georgia",119194,9480,68144,29166,212,6362,44,848,4938,57.1706629528332,24.469352484185443,7.953420474184942,5.33751698911019
13117,"Forsyth County, Georgia",251283,25226,159407,10455,456,45117,85,1255,9282,63.43724008388948,4.160647556738816,10.038880465451303,17.95465670180633
13121,"Fulton County, Georgia",1066710,86302,404793,448803,1558,80632,381,6444,37797,37.94780212053885,42.073572011137045,8.090483824094646,7.558942917943959
13123,"Gilmer County, Georgia",31353,3599,26365,127,62,131,0,82,987,84.09083660255797,0.40506490606959467,11.478965330271425,0.4178228558670622
13127,"Glynn County, Georgia",84499,6336,52987,20469,175,1175,92,352,2913,62.7072509733843,24.223955313080626,7.498313589509935,1.3905490005798886
13129,"Gordon County, Georgia",57544,8957,43317,2075,122,719,15,123,2216,75.27631030168219,3.6059363269845686,15.565480328096761,1.2494786598081469
13133,"Greene County, Georgia",18915,1289,11126,5783,28,174,2,58,455,58.82104150145388,30.573618821041503,6.8146973301612475,0.9199048374306107
13135,"Gwinnett County, Georgia",957062,220460,310583,257124,1532,126526,387,6489,33961,32.451711592352424,26.865971065615398,23.03508027693086,13.220251143604072
13139,"Hall County, Georgia",203136,57010,120418,14256,341,4198,85,708,6120,59.279497479521105,7.017958412098299,28.064941713925645,2.0665957781978572
13143,"Haralson County, Georgia",29919,497,26825,1253,56,186,9,87,1006,89.65874527891975,4.187974196998563,1.661151776463117,0.6216785320364985
13183,"Long County, Georgia",16168,1979,8774,4028,62,164,88,91,982,54.267689262741214,24.91340920336467,12.240227610094013,1.0143493320138546
13189,"McDuffie County, Georgia",21632,790,11417,8644,45,76,13,37,610,52.778291420118336,39.95931952662722,3.6519970414201186,0.35133136094674555
13195,"Madison County, Georgia",30120,1956,23549,2753,44,521,4,106,1187,78.18393094289509,9.140106241699868,6.494023904382471,1.7297476759628154
13201,"Miller County, Georgia",6000,136,3949,1748,9,26,1,5,126,65.81666666666666,29.133333333333333,2.2666666666666666,0.4333333333333333
13207,"Monroe County, Georgia",27957,714,19954,6084,34,239,0,86,846,71.37389562542475,21.76199163000322,2.5539220946453485,0.8548842865829668
13213,"Murray County, Georgia",39973,5914,32164,263,79,127,2,58,1366,80.46431341155281,0.6579441122757861,14.794986615965778,0.3177144572586496
13219,"Oconee County, Georgia",41799,2347,33886,1897,31,2066,0,171,1401,81.06892509390177,4.538386085791526,5.614966865236011,4.942701978516233
13223,"Paulding County, Georgia",168661,12564,108444,36609,394,1926,114,1068,7542,64.29702183670203,21.70566995333835,7.449262129360077,1.1419355986268314
13229,"Pierce County, Georgia",19716,998,16403,1597,41,82,0,45,550,83.19638871982147,8.10002028809089,5.061878677216474,0.4159058632582674
13235,"Pulaski County, Georgia",9855,327,6022,3161,8,92,3,48,194,61.10603754439371,32.075088787417556,3.3181126331811264,0.9335362760020295
13241,"Rabun County, Georgia",16883,1452,14625,107,28,60,1,35,575,86.62559971569034,0.633773618432743,8.600367233311616,0.3553870757566783
13245,"Richmond County, Georgia",206607,11449,68397,112947,511,3907,391,905,8100,33.10488027995179,54.66755724636629,5.5414385766213154,1.8910298295798302
13251,"Screven County, Georgia",14067,287,8018,5285,39,61,3,31,343,56.99864932110613,37.570199758299566,2.0402360133646122,0.43363901329352383
13257,"Stephens County, Georgia",26784,857,21323,2936,73,225,9,76,1285,79.61096176821984,10.961768219832736,3.1996714456391877,0.8400537634408601
13261,"Sumter County, Georgia",29616,1770,11528,15051,40,503,4,55,665,38.92490545651,50.82050243111832,5.976499189627228,1.6984062668827662
13267,"Tattnall County, Georgia",22842,2303,13825,5961,36,127,6,46,538,60.52447246300674,26.096664039926452,10.08230452674897,0.5559933455914543
13273,"Terrell County, Georgia",9185,177,3189,5540,11,57,1,11,199,34.71965160587915,60.3157321720196,1.9270549809471966,0.6205770277626566
13279,"Toombs County, Georgia",27030,3044,16007,6980,31,207,6,79,676,59.219385867554564,25.82315945246023,11.26156122826489,0.7658157602663707
13283,"Treutlen County, Georgia",6406,170,4065,1999,19,7,0,7,139,63.45613487355604,31.205120199812676,2.653762098033094,0.10927255697783327
13289,"Twiggs County, Georgia",8022,124,4487,3099,16,37,0,18,241,55.93368237347295,38.63126402393418,1.5457491897282472,0.4612316130640738
13295,"Walker County, Georgia",67654,1685,59654,2840,149,293,25,204,2804,88.17512637833683,4.197830135690425,2.490614006562805,0.4330859963934135
13301,"Warren County, Georgia",5215,53,1974,3047,18,15,1,10,97,37.852348993288594,58.42761265580057,1.0162991371045063,0.28763183125599234
13305,"Wayne County, Georgia",30144,1732,21301,5877,58,174,2,130,870,70.66414543524417,19.496417197452228,5.745753715498939,0.5772292993630573
13311,"White County, Georgia",28003,913,24959,467,105,159,0,116,1284,89.1297360997036,1.667678463021819,3.260364960897047,0.567796307538478
13317,"Wilkes County, Georgia",9565,399,4952,3838,22,59,0,18,277,51.77208572922112,40.12545739675902,4.1714584422373235,0.6168322007318349
13321,"Worth County, Georgia",20784,381,14427,5255,49,87,8,53,524,69.41397228637413,25.283872209391838,1.8331408775981521,0.41859122401847576
13145,"Harris County, Georgia",34668,1417,25925,5170,101,388,21,138,1508,74.7807776623976,14.91288796584747,4.0873427945079035,1.1191877235490941
13147,"Hart County, Georgia",25828,931,19250,4324,36,335,2,86,864,74.53151618398637,16.74152083010686,3.6046151463527956,1.2970419699550875
13149,"Heard County, Georgia",11412,253,9589,930,33,53,4,29,521,84.02558710129688,8.149316508937961,2.216964598668069,0.46442341395022785
13151,"Henry County, Georgia",240712,18437,86297,116431,427,7976,119,1650,9375,35.850726179002294,48.36942071853501,7.659360563661139,3.3135032736215897
13153,"Houston County, Georgia",163633,11807,86211,51992,339,4905,124,703,7552,52.68558298142795,31.77354201169691,7.215537208264837,2.99756161654434
13155,"Irwin County, Georgia",9666,663,6402,2224,15,119,1,24,218,66.23215394165115,23.008483343678872,6.85909373060211,1.2311193875439685
13157,"Jackson County, Georgia",75907,6712,59064,5136,127,1744,30,294,2800,77.81100557260858,6.766174397618138,8.842399251715916,2.2975483157021093
13159,"Jasper County, Georgia",14588,684,10771,2442,34,22,1,62,572,73.83465862352618,16.739786125582672,4.688785302988758,0.1508088840142583
13161,"Jeff Davis County, Georgia",14779,2047,9950,2293,26,50,7,33,373,67.32525881318087,15.515258136545098,13.85073414980716,0.3383178834833209
13163,"Jefferson County, Georgia",15709,462,6834,7970,21,70,0,25,327,43.50372397988414,50.73524731045897,2.9409892418358905,0.4456044305811955
13165,"Jenkins County, Georgia",8674,303,4611,3536,29,12,5,30,148,53.158865575282455,40.76550611021443,3.4931980631773114,0.1383444777495965
13167,"Johnson County, Georgia",9189,117,5800,3017,23,28,15,14,175,63.11894656654696,32.832734791598654,1.2732615083251715,0.30471215583850253
13169,"Jones County, Georgia",28347,476,20074,6739,46,138,7,73,794,70.81525381874624,23.773238790700958,1.6791900377464988,0.48682400253995134
13171,"Lamar County, Georgia",18500,475,12344,4888,13,102,4,48,626,66.72432432432433,26.42162162162162,2.5675675675675675,0.5513513513513513
13173,"Lanier County, Georgia",9877,572,6595,2138,31,81,14,33,413,66.77128682798421,21.64624886099018,5.791232155512808,0.8200870709729675
13175,"Laurens County, Georgia",49570,1424,27881,18219,80,507,14,141,1304,56.24571313294331,36.754085132136375,2.8727052652814202,1.0227960459955618
13177,"Lee County, Georgia",33163,953,22758,7331,57,850,9,98,1107,68.62467207429968,22.10596146307632,2.873684527937762,2.563097427856346
13179,"Liberty County, Georgia",65256,7786,24004,27309,225,1325,437,322,3848,36.78435699399289,41.849025376976826,11.931469903150669,2.0304646316047568
13181,"Lincoln County, Georgia",7690,92,5196,2116,18,20,3,10,235,67.56827048114434,27.516254876462938,1.1963589076723018,0.26007802340702213
13185,"Lowndes County, Georgia",118251,7872,59306,43946,312,1908,100,450,4357,50.15264141529458,37.163322086071155,6.657026156227008,1.6135170104269732
13187,"Lumpkin County, Georgia",33488,1790,29241,412,151,257,21,118,1498,87.31784519827998,1.230291447682752,5.345198279980889,0.767439082656474
13191,"McIntosh County, Georgia",10975,231,7060,3176,32,43,0,35,398,64.32801822323462,28.938496583143507,2.1047835990888384,0.3917995444191344
13193,"Macon County, Georgia",12082,472,4078,7150,15,156,7,20,184,33.752689951994704,59.178943883463,3.90663797384539,1.2911769574573746
13197,"Marion County, Georgia",7498,560,4486,2122,12,55,15,11,237,59.82928781008269,28.30088023472926,7.468658308882368,0.7335289410509469
13199,"Meriwether County, Georgia",20613,475,12084,7273,64,78,6,50,583,58.6231989521176,35.2835589191287,2.304371027992044,0.37840197933343034
13205,"Mitchell County, Georgia",21755,964,10106,10054,37,108,0,41,445,46.45368880717077,46.214663295794075,4.431165249367961,0.49643760055159736
13209,"Montgomery County, Georgia",8610,571,5665,2120,11,34,0,13,196,65.79558652729385,24.62253193960511,6.631823461091754,0.3948896631823461
13211,"Morgan County, Georgia",20097,712,14487,4105,42,122,1,68,560,72.08538587848933,20.425934219037668,3.5428173359207844,0.6070557794695726
13215,"Muscogee County, Georgia",206922,16513,79083,94701,488,5546,517,1076,8998,38.218749093861454,45.76652071795169,7.980301756217319,2.6802369975159723
13217,"Newton County, Georgia",112483,7164,46746,52246,175,1044,114,734,4260,41.55827991785425,46.44790768382778,6.36896242098806,0.9281402523047927
13221,"Oglethorpe County, Georgia",14825,869,10903,2248,40,134,5,53,573,73.54468802698145,15.163575042158516,5.861720067453626,0.9038785834738617
13225,"Peach County, Georgia",27981,2547,12119,12139,63,194,6,98,815,43.31153282584611,43.38300989957471,9.102605339337408,0.693327615167435
13227,"Pickens County, Georgia",33216,1198,30122,286,85,191,4,70,1260,90.68521194605009,0.8610308285163777,3.606695568400771,0.57502408477842
13231,"Pike County, Georgia",18889,348,16313,1445,28,77,0,62,616,86.36243316215787,7.649955000264705,1.8423421038699772,0.4076446609137594
13233,"Polk County, Georgia",42853,5585,30161,5119,101,239,21,156,1471,70.38247030546286,11.945488063846172,13.032926516229903,0.5577205796560334
13237,"Putnam County, Georgia",22047,1557,14316,5385,33,108,1,40,607,64.93400462647979,24.425091849231187,7.062185331337598,0.4898625663355558
13239,"Quitman County, Georgia",2235,31,1190,917,13,12,0,9,63,53.24384787472036,41.02908277404922,1.3870246085011184,0.5369127516778524
13243,"Randolph County, Georgia",6425,143,2250,3862,9,21,3,23,114,35.019455252918284,60.10894941634242,2.22568093385214,0.32684824902723736
13247,"Rockdale County, Georgia",93570,9540,24500,53785,168,1532,72,617,3356,26.183605856577962,57.481030244736566,10.195575504969542,1.637276904990916
13249,"Schley County, Georgia",4547,175,3357,863,4,20,2,7,119,73.82889817462063,18.979546954035627,3.8486914449087313,0.4398504508467121
13253,"Seminole County, Georgia",9147,228,5617,2961,6,61,0,25,249,61.40811194927298,32.371269268612664,2.492620531321745,0.6668853175904668
13255,"Spalding County, Georgia",67306,3666,37105,23148,154,640,23,247,2323,55.12881466734021,34.392179003357796,5.446765518675898,0.9508810507235611
13259,"Stewart County, Georgia",5314,1217,1338,2461,10,167,5,8,108,25.17877305231464,46.31162965750847,22.901768912307112,3.14264207753105
13263,"Talbot County, Georgia",5733,112,2427,3056,5,17,1,6,109,42.3338566195709,53.30542473399616,1.9536019536019535,0.2965288679574394
13265,"Taliaferro County, Georgia",1559,69,591,833,4,6,0,2,54,37.90891597177678,53.43168697883258,4.425914047466325,0.38486209108402825
13269,"Taylor County, Georgia",7816,168,4584,2807,27,29,2,19,180,58.64892528147389,35.91351074718526,2.1494370522006143,0.3710337768679631
13271,"Telfair County, Georgia",12477,1928,5970,4326,28,30,0,17,178,47.84804039432556,34.67179610483289,15.45243247575539,0.24044241404183697
13275,"Thomas County, Georgia",45798,1577,25994,16259,150,406,9,124,1279,56.7579370278178,35.50155028603869,3.443381807065811,0.886501593956068
13277,"Tift County, Georgia",41344,5219,22189,12049,56,650,2,91,1088,53.66921439628483,29.143285603715167,12.623355263157896,1.5721749226006194
13281,"Towns County, Georgia",12493,415,11469,124,28,81,3,35,338,91.80340990954934,0.9925558312655087,3.321860241735372,0.6483630833266629
13285,"Troup County, Georgia",69426,2956,38099,24157,127,1608,36,239,2204,54.87713536715352,34.7953216374269,4.257770863941463,2.316135165499957
13287,"Turner County, Georgia",9006,372,4700,3644,7,49,0,25,209,52.187430601821006,40.46191427936931,4.130579613590939,0.5440817232955807
13291,"Union County, Georgia",24632,816,22646,126,74,100,0,63,807,91.9373173108152,0.5115297174407275,3.312763884378045,0.4059759662227996
13293,"Upson County, Georgia",27700,633,18009,7851,63,151,1,106,886,65.014440433213,28.342960288808666,2.2851985559566788,0.5451263537906137
13307,"Webster County, Georgia",2348,59,1136,1063,0,12,6,3,69,48.38160136286201,45.27257240204429,2.512776831345826,0.5110732538330494
13297,"Walton County, Georgia",96673,5228,68499,17136,188,1409,44,552,3617,70.85639216740972,17.725735210451727,5.407921549967416,1.4574907161254953
13299,"Ware County, Georgia",36251,1612,22275,10703,77,333,18,112,1121,61.446580783978376,29.524702766820226,4.446773882099804,0.9185953490938181
13303,"Washington County, Georgia",19988,334,8412,10698,37,76,0,30,401,42.08525115069042,53.52211326796078,1.6710026015609367,0.38022813688212925
13309,"Wheeler County, Georgia",7471,272,4157,2875,9,17,0,6,135,55.64181501806987,38.482130906170525,3.6407442109490025,0.22754651318431265
13313,"Whitfield County, Georgia",102864,36916,57875,3553,182,1394,19,304,2621,56.263610203764195,3.4540752838699644,35.8881630113548,1.3551874319489812
13315,"Wilcox County, Georgia",8766,272,5185,3096,3,49,3,9,149,59.148984713666444,35.318275154004105,3.102897558749715,0.5589778690394707
13319,"Wilkinson County, Georgia",8877,239,5110,3163,30,22,3,13,297,57.564492508730424,35.63140700687169,2.6923510194885663,0.24783147459727387
